ticker,prior_theme,phase1j_resolved_theme,phase1k_resolved_theme,phase1k_resolved_subtheme,confidence,evidence_source,notes
AAPL,mega-cap platform,mega-cap platform,mega-cap platform,consumer devices / services,HIGH,static_taxonomy,
ABNB,consumer internet,consumer internet,consumer internet,travel marketplace,HIGH,static_taxonomy,
ACHR,EV / mobility,EV / mobility,EV / mobility,eVTOL,HIGH,static_taxonomy,
ADBE,software,software,software,creative software,HIGH,static_taxonomy,
AFRM,fintech,fintech,fintech,consumer credit,HIGH,static_taxonomy,
AI,AI / software,AI / software,AI / software,enterprise AI,HIGH,static_taxonomy,
AMAT,semiconductor / hardware,semiconductor / hardware,semiconductor / hardware,semicap equipment,HIGH,static_taxonomy,
AMD,semiconductor / hardware,semiconductor / hardware,semiconductor / hardware,accelerators / CPU,HIGH,static_taxonomy,
ANET,AI infrastructure,AI infrastructure,AI infrastructure,networking,HIGH,static_taxonomy,
APP,software,software,software,adtech,HIGH,static_taxonomy,
ARM,semiconductor / hardware,semiconductor / hardware,semiconductor / hardware,IP / architecture,HIGH,static_taxonomy,
ASML,semiconductor / hardware,semiconductor / hardware,semiconductor / hardware,lithography,HIGH,static_taxonomy,
ASTS,UNMAPPED_LOW_CONFIDENCE,consumer internet,space / communications,satellite broadband,HIGH,phase1k_static_override,AST SpaceMobile satellite broadband business.
AVAV,space / defense / nuclear,space / defense / nuclear,space / defense / nuclear,drones,HIGH,static_taxonomy,
AVGO,semiconductor / hardware,semiconductor / hardware,semiconductor / hardware,networking silicon,HIGH,static_taxonomy,
BA,space / defense / nuclear,space / defense / nuclear,space / defense / nuclear,aerospace,HIGH,static_taxonomy,
BBAI,AI / software,AI / software,AI / software,defense AI,HIGH,static_taxonomy,
BEAM,biotech,biotech,biotech,gene editing,HIGH,static_taxonomy,
BITF,UNMAPPED_LOW_CONFIDENCE,UNMAPPED_LOW_CONFIDENCE,crypto-adjacent / high beta,bitcoin mining,HIGH,phase1k_static_override,Bitfarms bitcoin mining.
