ticker,prior_theme,resolved_theme,resolved_subtheme,confidence,evidence_source,notes
AAPL,mega-cap platform,mega-cap platform,consumer devices / services,HIGH,static_taxonomy,
ABNB,consumer internet,consumer internet,travel marketplace,HIGH,static_taxonomy,
ACHR,EV / mobility,EV / mobility,eVTOL,HIGH,static_taxonomy,
ADBE,software,software,creative software,HIGH,static_taxonomy,
AFRM,fintech,fintech,consumer credit,HIGH,static_taxonomy,
AI,AI / software,AI / software,enterprise AI,HIGH,static_taxonomy,
AMAT,semiconductor / hardware,semiconductor / hardware,semicap equipment,HIGH,static_taxonomy,
AMD,semiconductor / hardware,semiconductor / hardware,accelerators / CPU,HIGH,static_taxonomy,
ANET,AI infrastructure,AI infrastructure,networking,HIGH,static_taxonomy,
APP,software,software,adtech,HIGH,static_taxonomy,
ARM,semiconductor / hardware,semiconductor / hardware,IP / architecture,HIGH,static_taxonomy,
ASML,semiconductor / hardware,semiconductor / hardware,lithography,HIGH,static_taxonomy,
ASTS,UNMAPPED_LOW_CONFIDENCE,consumer internet,consumer platform,MEDIUM,name_keyword,resolved from listing/security name
AVAV,space / defense / nuclear,space / defense / nuclear,drones,HIGH,static_taxonomy,
AVGO,semiconductor / hardware,semiconductor / hardware,networking silicon,HIGH,static_taxonomy,
BA,space / defense / nuclear,space / defense / nuclear,aerospace,HIGH,static_taxonomy,
BBAI,AI / software,AI / software,defense AI,HIGH,static_taxonomy,
BEAM,biotech,biotech,gene editing,HIGH,static_taxonomy,
BITF,UNMAPPED_LOW_CONFIDENCE,UNMAPPED_LOW_CONFIDENCE,manual_review_required,LOW,conservative_fallback,manual review required
BWXT,space / defense / nuclear,space / defense / nuclear,nuclear services,HIGH,static_taxonomy,
CAVA,consumer growth,consumer growth,restaurants,HIGH,static_taxonomy,
CCJ,space / defense / nuclear,space / defense / nuclear,uranium,HIGH,static_taxonomy,
CEG,power / electrification,power / electrification,nuclear utility,HIGH,static_taxonomy,
CELH,UNMAPPED_LOW_CONFIDENCE,consumer internet,consumer platform,MEDIUM,name_keyword,resolved from listing/security name
CLSK,UNMAPPED_LOW_CONFIDENCE,consumer internet,consumer platform,MEDIUM,name_keyword,resolved from listing/security name
COIN,crypto-adjacent / high beta,crypto-adjacent / high beta,crypto exchange,HIGH,static_taxonomy,
CORZ,crypto-adjacent / high beta,crypto-adjacent / high beta,bitcoin mining / AI compute,HIGH,static_taxonomy,
CRM,software,software,enterprise SaaS,HIGH,static_taxonomy,
CRSP,UNMAPPED_LOW_CONFIDENCE,biotech,life sciences,MEDIUM,name_keyword,resolved from listing/security name
CRWD,software,software,cybersecurity,HIGH,static_taxonomy,
DASH,consumer internet,consumer internet,delivery marketplace,HIGH,static_taxonomy,
DDOG,software,software,observability,HIGH,static_taxonomy,
DELL,AI infrastructure,AI infrastructure,servers,HIGH,static_taxonomy,
DNA,biotech,biotech,synthetic biology,HIGH,static_taxonomy,
DUOL,consumer internet,consumer internet,education app,HIGH,static_taxonomy,
EDIT,biotech,biotech,gene editing,HIGH,static_taxonomy,
ELF,consumer growth,consumer growth,beauty,HIGH,static_taxonomy,
ESTC,software,software,search / observability,HIGH,static_taxonomy,
ETN,power / electrification,power / electrification,electrical equipment,HIGH,static_taxonomy,
F,EV / mobility,EV / mobility,auto OEM,HIGH,static_taxonomy,
GD,space / defense / nuclear,space / defense / nuclear,defense prime,HIGH,static_taxonomy,
GEV,power / electrification,power / electrification,grid / turbines,HIGH,static_taxonomy,
GM,EV / mobility,EV / mobility,auto OEM,HIGH,static_taxonomy,
HOOD,fintech,fintech,brokerage,HIGH,static_taxonomy,
HPE,AI infrastructure,AI infrastructure,servers / networking,HIGH,static_taxonomy,
HUT,crypto-adjacent / high beta,crypto-adjacent / high beta,bitcoin mining,HIGH,static_taxonomy,
INTC,semiconductor / hardware,semiconductor / hardware,CPU / foundry,HIGH,static_taxonomy,
IOVA,UNMAPPED_LOW_CONFIDENCE,biotech,life sciences,MEDIUM,name_keyword,resolved from listing/security name
IREN,crypto-adjacent / high beta,crypto-adjacent / high beta,bitcoin mining / AI compute,HIGH,static_taxonomy,
ISRG,robotics / automation,robotics / automation,surgical robotics,HIGH,static_taxonomy,
JOBY,EV / mobility,EV / mobility,eVTOL,HIGH,static_taxonomy,
KLAC,semiconductor / hardware,semiconductor / hardware,semicap equipment,HIGH,static_taxonomy,
KTOS,space / defense / nuclear,space / defense / nuclear,defense systems,HIGH,static_taxonomy,
LCID,EV / mobility,EV / mobility,EV OEM,HIGH,static_taxonomy,
LEU,space / defense / nuclear,space / defense / nuclear,nuclear fuel,HIGH,static_taxonomy,
LI,EV / mobility,EV / mobility,China EV,HIGH,static_taxonomy,
LMT,space / defense / nuclear,space / defense / nuclear,defense prime,HIGH,static_taxonomy,
LRCX,semiconductor / hardware,semiconductor / hardware,semicap equipment,HIGH,static_taxonomy,
