ticker,issue_type,issue_count,severity,notes
AAPL,missing_ohlcv_bars,26,WARN,Business-day gap approximation; market holidays may be counted conservatively.
AAPL,zero_volume_days,0,OK,
AAPL,abnormal_volume_days,0,OK,Volume above 20x ticker median.
AAPL,split_or_adjustment_anomaly,0,OK,Absolute daily close move above 45%.
AAPL,incomplete_20d_forward_windows,20,WARN,
ABNB,missing_ohlcv_bars,26,WARN,Business-day gap approximation; market holidays may be counted conservatively.
ABNB,zero_volume_days,0,OK,
ABNB,abnormal_volume_days,0,OK,Volume above 20x ticker median.
ABNB,split_or_adjustment_anomaly,0,OK,Absolute daily close move above 45%.
ABNB,incomplete_20d_forward_windows,20,WARN,
ACHR,missing_ohlcv_bars,26,WARN,Business-day gap approximation; market holidays may be counted conservatively.
ACHR,zero_volume_days,0,OK,
ACHR,abnormal_volume_days,0,OK,Volume above 20x ticker median.
ACHR,split_or_adjustment_anomaly,0,OK,Absolute daily close move above 45%.
ACHR,incomplete_20d_forward_windows,20,WARN,
ADBE,missing_ohlcv_bars,26,WARN,Business-day gap approximation; market holidays may be counted conservatively.
ADBE,zero_volume_days,0,OK,
ADBE,abnormal_volume_days,0,OK,Volume above 20x ticker median.
ADBE,split_or_adjustment_anomaly,0,OK,Absolute daily close move above 45%.
ADBE,incomplete_20d_forward_windows,20,WARN,
AFRM,missing_ohlcv_bars,26,WARN,Business-day gap approximation; market holidays may be counted conservatively.
AFRM,zero_volume_days,0,OK,
AFRM,abnormal_volume_days,0,OK,Volume above 20x ticker median.
AFRM,split_or_adjustment_anomaly,0,OK,Absolute daily close move above 45%.
AFRM,incomplete_20d_forward_windows,20,WARN,
AI,missing_ohlcv_bars,26,WARN,Business-day gap approximation; market holidays may be counted conservatively.
AI,zero_volume_days,0,OK,
AI,abnormal_volume_days,0,OK,Volume above 20x ticker median.
AI,split_or_adjustment_anomaly,0,OK,Absolute daily close move above 45%.
AI,incomplete_20d_forward_windows,20,WARN,
AMAT,missing_ohlcv_bars,26,WARN,Business-day gap approximation; market holidays may be counted conservatively.
AMAT,zero_volume_days,0,OK,
AMAT,abnormal_volume_days,0,OK,Volume above 20x ticker median.
AMAT,split_or_adjustment_anomaly,0,OK,Absolute daily close move above 45%.
AMAT,incomplete_20d_forward_windows,20,WARN,
AMD,missing_ohlcv_bars,26,WARN,Business-day gap approximation; market holidays may be counted conservatively.
AMD,zero_volume_days,0,OK,
AMD,abnormal_volume_days,0,OK,Volume above 20x ticker median.
AMD,split_or_adjustment_anomaly,0,OK,Absolute daily close move above 45%.
AMD,incomplete_20d_forward_windows,20,WARN,
ANET,missing_ohlcv_bars,26,WARN,Business-day gap approximation; market holidays may be counted conservatively.
ANET,zero_volume_days,0,OK,
ANET,abnormal_volume_days,0,OK,Volume above 20x ticker median.
ANET,split_or_adjustment_anomaly,0,OK,Absolute daily close move above 45%.
ANET,incomplete_20d_forward_windows,20,WARN,
APP,missing_ohlcv_bars,26,WARN,Business-day gap approximation; market holidays may be counted conservatively.
APP,zero_volume_days,0,OK,
APP,abnormal_volume_days,0,OK,Volume above 20x ticker median.
APP,split_or_adjustment_anomaly,1,WARN,Absolute daily close move above 45%.
