ticker,phase1j_quarantine_status,phase1j_quarantine_reason,phase1j_suggested_action,phase1j_earliest_safe_replay_date,phase1k_listing_status,phase1k_ohlcv_status,phase1k_alias_status,phase1k_taxonomy_confidence,factor_lookback_available_days_at_requested_start,forward_window_available_days_at_requested_end,dynamic_earliest_safe_replay_date,remediation_class,phase1k_recommended_research_action,rationale
ASTS,QUARANTINE,insufficient_factor_lookback;insufficient_forward_window,MANUAL_REVIEW,,ACTIVE_LISTED_EQUITY,GLOBAL_SOURCE_UNAVAILABLE,UNCHANGED,HIGH,0,0,,PERMANENT_DROP,DROP,No usable OHLCV in the requested research dataset.
BITF,QUARANTINE,symbol_master_status:UNKNOWN;insufficient_factor_lookback;insufficient_forward_window,DROP_FROM_RESEARCH,,UNKNOWN,GLOBAL_SOURCE_UNAVAILABLE,UNKNOWN,HIGH,0,0,,DATA_DOWNLOAD_RETRY_NEEDED,MANUAL_REVIEW,BITF has metadata/price download failure and static taxonomy is resolved; data source retry is needed before inclusion.
CELH,QUARANTINE,insufficient_factor_lookback;insufficient_forward_window,MANUAL_REVIEW,,ACTIVE_LISTED_EQUITY,GLOBAL_SOURCE_UNAVAILABLE,UNCHANGED,HIGH,0,0,,PERMANENT_DROP,DROP,No usable OHLCV in the requested research dataset.
CLSK,QUARANTINE,insufficient_factor_lookback;insufficient_forward_window,MANUAL_REVIEW,,ACTIVE_LISTED_EQUITY,GLOBAL_SOURCE_UNAVAILABLE,UNCHANGED,HIGH,0,0,,PERMANENT_DROP,DROP,No usable OHLCV in the requested research dataset.
CRSP,QUARANTINE,insufficient_factor_lookback;insufficient_forward_window,MANUAL_REVIEW,,ACTIVE_LISTED_EQUITY,GLOBAL_SOURCE_UNAVAILABLE,UNCHANGED,HIGH,0,0,,PERMANENT_DROP,DROP,No usable OHLCV in the requested research dataset.
GEV,RESEARCH_WARN,recent_listing_requires_earliest_safe_replay_date,ALLOW_AFTER_DATE,2024-04-24,ACTIVE_LISTED_EQUITY,GLOBAL_SOURCE_UNAVAILABLE,UNCHANGED,HIGH,0,0,2024-04-24,DYNAMIC_ALLOW_AFTER_DATE,ALLOW_DYNAMIC_DATE_GATED,Recent listing has usable later OHLCV and should be date-gated instead of permanently dropped.
IOVA,QUARANTINE,insufficient_factor_lookback;insufficient_forward_window,MANUAL_REVIEW,,ACTIVE_LISTED_EQUITY,GLOBAL_SOURCE_UNAVAILABLE,UNCHANGED,HIGH,0,0,,PERMANENT_DROP,DROP,No usable OHLCV in the requested research dataset.
MARA,QUARANTINE,insufficient_factor_lookback;insufficient_forward_window,MANUAL_REVIEW,,ACTIVE_LISTED_EQUITY,GLOBAL_SOURCE_UNAVAILABLE,UNCHANGED,HIGH,0,0,,PERMANENT_DROP,DROP,No usable OHLCV in the requested research dataset.
MDB,QUARANTINE,insufficient_factor_lookback;insufficient_forward_window,MANUAL_REVIEW,,ACTIVE_LISTED_EQUITY,GLOBAL_SOURCE_UNAVAILABLE,UNCHANGED,HIGH,0,0,,PERMANENT_DROP,DROP,No usable OHLCV in the requested research dataset.
MIRM,QUARANTINE,insufficient_factor_lookback;insufficient_forward_window,MANUAL_REVIEW,,ACTIVE_LISTED_EQUITY,GLOBAL_SOURCE_UNAVAILABLE,UNCHANGED,HIGH,0,0,,PERMANENT_DROP,DROP,No usable OHLCV in the requested research dataset.
NNE,QUARANTINE,insufficient_factor_lookback;insufficient_forward_window,MANUAL_REVIEW,,ACTIVE_LISTED_EQUITY,GLOBAL_SOURCE_UNAVAILABLE,UNCHANGED,HIGH,0,0,,PERMANENT_DROP,DROP,No usable OHLCV in the requested research dataset.
NTLA,QUARANTINE,insufficient_factor_lookback;insufficient_forward_window,MANUAL_REVIEW,,ACTIVE_LISTED_EQUITY,GLOBAL_SOURCE_UNAVAILABLE,UNCHANGED,HIGH,0,0,,PERMANENT_DROP,DROP,No usable OHLCV in the requested research dataset.
RDDT,RESEARCH_WARN,recent_listing_requires_earliest_safe_replay_date,ALLOW_AFTER_DATE,2024-04-18,ACTIVE_LISTED_EQUITY,GLOBAL_SOURCE_UNAVAILABLE,UNCHANGED,HIGH,0,0,2024-04-18,DYNAMIC_ALLOW_AFTER_DATE,ALLOW_DYNAMIC_DATE_GATED,Recent listing has usable later OHLCV and should be date-gated instead of permanently dropped.
RIOT,QUARANTINE,insufficient_factor_lookback;insufficient_forward_window,MANUAL_REVIEW,,ACTIVE_LISTED_EQUITY,GLOBAL_SOURCE_UNAVAILABLE,UNCHANGED,HIGH,0,0,,PERMANENT_DROP,DROP,No usable OHLCV in the requested research dataset.
SOUN,QUARANTINE,insufficient_factor_lookback;insufficient_forward_window,MANUAL_REVIEW,,ACTIVE_LISTED_EQUITY,GLOBAL_SOURCE_UNAVAILABLE,UNCHANGED,HIGH,0,0,,PERMANENT_DROP,DROP,No usable OHLCV in the requested research dataset.
SQ,QUARANTINE,symbol_master_status:UNKNOWN;insufficient_factor_lookback;insufficient_forward_window,DROP_FROM_RESEARCH,,UNKNOWN,GLOBAL_SOURCE_UNAVAILABLE,RENAMED,HIGH,0,0,,ALIASED_OR_RENAMED,ALLOW_DYNAMIC_DATE_GATED,Ticker rename handled through lifecycle map without leaking future eligibility.
SYM,QUARANTINE,insufficient_factor_lookback;insufficient_forward_window,MANUAL_REVIEW,,ACTIVE_LISTED_EQUITY,GLOBAL_SOURCE_UNAVAILABLE,UNCHANGED,HIGH,0,0,,PERMANENT_DROP,DROP,No usable OHLCV in the requested research dataset.
TGTX,QUARANTINE,insufficient_factor_lookback;insufficient_forward_window,MANUAL_REVIEW,,ACTIVE_LISTED_EQUITY,GLOBAL_SOURCE_UNAVAILABLE,UNCHANGED,HIGH,0,0,,PERMANENT_DROP,DROP,No usable OHLCV in the requested research dataset.
TTD,QUARANTINE,insufficient_factor_lookback;insufficient_forward_window,MANUAL_REVIEW,,ACTIVE_LISTED_EQUITY,GLOBAL_SOURCE_UNAVAILABLE,UNCHANGED,HIGH,0,0,,PERMANENT_DROP,DROP,No usable OHLCV in the requested research dataset.
U,QUARANTINE,insufficient_factor_lookback;insufficient_forward_window,MANUAL_REVIEW,,ACTIVE_LISTED_EQUITY,GLOBAL_SOURCE_UNAVAILABLE,UNCHANGED,HIGH,0,0,,PERMANENT_DROP,DROP,No usable OHLCV in the requested research dataset.
VKTX,QUARANTINE,insufficient_factor_lookback;insufficient_forward_window,MANUAL_REVIEW,,ACTIVE_LISTED_EQUITY,GLOBAL_SOURCE_UNAVAILABLE,UNCHANGED,HIGH,0,0,,PERMANENT_DROP,DROP,No usable OHLCV in the requested research dataset.
